N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
14,0.57556,0.49476,PBC,0.0,POLFED,4.264106073652863,0.0,343,1
14,0.25238,0.73715,PBC,0.0,POLFED,3.988542146675387,0.0,343,1
14,0.69675,0.0504,PBC,0.0,POLFED,3.1979245127751774,0.0,343,1
14,0.77754,0.09079,PBC,0.0,POLFED,3.271280037549439,0.1352023302702276,343,2
14,0.21199,0.17159,PBC,0.0,POLFED,1.5266559832616449,0.0,343,1
14,0.49476,0.21199,PBC,0.0,POLFED,4.236141280774444,0.0,343,1
14,0.65635,0.57556,PBC,0.0,POLFED,4.253763748019381,0.0,343,1
14,0.73715,0.09079,PBC,0.0,POLFED,1.9552914232285595e-05,1.9552914232285595e-05,343,2
14,0.0504,0.25238,PBC,0.0,POLFED,0.0501393750674355,0.0,343,1
14,0.65635,0.65635,PBC,0.0,POLFED,4.207554507705048,0.0,343,1
14,0.57556,0.0504,PBC,0.0,POLFED,3.5002979731909227,0.0,343,1
14,0.37357,0.0504,PBC,0.0,POLFED,2.28467770339313,0.0,343,1
14,0.0504,0.53516,PBC,0.0,POLFED,0.1393782428138742,0.0,343,1
14,0.69675,0.01,PBC,0.0,POLFED,2.896567655362546,0.0,343,1
14,0.17159,0.41397,PBC,0.0,POLFED,1.9810666708641185,0.0,343,1
14,0.41397,0.49476,PBC,0.0,POLFED,4.249347203834193,0.0,343,1
14,0.37357,0.41397,PBC,0.0,POLFED,4.223733100988058,0.0,343,1
14,0.13119,0.17159,PBC,0.0,POLFED,0.7967267713638605,0.0,343,1
14,0.53516,0.13119,PBC,0.0,POLFED,4.19616738355007,0.0,343,1
14,0.21199,0.73715,PBC,0.0,POLFED,3.5742054692111656,0.0,343,1
14,0.45437,0.57556,PBC,0.0,POLFED,4.259504609880902,0.0,343,1
14,0.17159,0.37357,PBC,0.0,POLFED,1.9443201268941463,0.0,343,1
14,0.53516,0.61596,PBC,0.0,POLFED,4.265319073818178,0.0,343,1
14,0.29278,0.45437,PBC,0.0,POLFED,4.099328740942457,0.0,343,1
14,0.37357,0.37357,PBC,0.0,POLFED,4.210241551770029,0.0,343,1
14,0.69675,0.49476,PBC,0.0,POLFED,4.2095170723629565,0.0,343,1
14,0.25238,0.17159,PBC,0.0,POLFED,2.465382006594159,0.0,343,1
14,0.33318,0.49476,PBC,0.0,POLFED,4.165112557643639,0.0,343,1
14,0.73715,0.49476,PBC,0.0,POLFED,2.0144249477179623,2.0144249477179623,343,2
14,0.77754,0.45437,PBC,0.0,POLFED,1.977433816880065,1.7099991194304986,343,2
